Tue Oct 30 2012,L
Fri Nov 2 2012,L
Sat Nov 3 2012,W
Wed Nov 7 2012,W
Fri Nov 9 2012,L
Sat Nov 10 2012,W
Mon Nov 12 2012,W
Wed Nov 14 2012,W
Thu Nov 15 2012,L
Sat Nov 17 2012,W
Sun Nov 18 2012,L
Wed Nov 21 2012,L
Fri Nov 23 2012,W
Sun Nov 25 2012,W
Wed Nov 28 2012,L
Fri Nov 30 2012,W
Sat Dec 1 2012,L
Wed Dec 5 2012,W
Fri Dec 7 2012,L
Sat Dec 8 2012,W
Wed Dec 12 2012,W
Fri Dec 14 2012,L
Sat Dec 15 2012,L
Tue Dec 18 2012,L
Wed Dec 19 2012,W
Fri Dec 21 2012,L
Tue Dec 25 2012,W
Thu Dec 27 2012,L
Sat Dec 29 2012,L
Sun Dec 30 2012,L
Wed Jan 2 2013,L
Fri Jan 4 2013,W
Sat Jan 5 2013,W
Mon Jan 7 2013,W
Wed Jan 9 2013,W
Fri Jan 11 2013,W
Mon Jan 14 2013,W
Wed Jan 16 2013,L
Fri Jan 18 2013,L
Sun Jan 20 2013,L
Tue Jan 22 2013,L
Thu Jan 24 2013,L
Fri Jan 25 2013,L
Sun Jan 27 2013,W
Wed Jan 30 2013,W
Fri Feb 1 2013,W
Sun Feb 3 2013,W
Wed Feb 6 2013,W
Thu Feb 7 2013,W
Sun Feb 10 2013,W
Mon Feb 11 2013,L
Wed Feb 13 2013,W
Tue Feb 19 2013,L
Wed Feb 20 2013,L
Fri Feb 22 2013,W
Sun Feb 24 2013,L
Mon Feb 25 2013,W
Fri Mar 1 2013,W
Tue Mar 5 2013,W
Wed Mar 6 2013,W
Fri Mar 8 2013,W
Sun Mar 10 2013,L
Tue Mar 12 2013,L
Wed Mar 13 2013,W
Sat Mar 16 2013,W
Mon Mar 18 2013,L
Wed Mar 20 2013,L
Fri Mar 22 2013,L
Sat Mar 23 2013,L
Tue Mar 26 2013,L
Wed Mar 27 2013,W
Fri Mar 29 2013,W
Sun Mar 31 2013,L
Mon Apr 1 2013,L
Wed Apr 3 2013,W
Fri Apr 5 2013,L
Sun Apr 7 2013,W
Wed Apr 10 2013,L
Fri Apr 12 2013,L
Sat Apr 13 2013,W
Wed Apr 17 2013,L
Sat Apr 20 2013,L
Tue Apr 23 2013,L
Fri Apr 26 2013,L
Sun Apr 28 2013,W
Wed May 1 2013,W
Fri May 3 2013,L
