January 10,W
January 18,W
February 1,W
September 10,W
September 20,W
September 27,W
October 11,W
October 18,W
October 25,W
October 29,W
November 8,W
November 15,W
November 23,W
November 29,L
December 6,L
December 13,W
December 20,W
December 27,L
