2017-10-05,W
2017-10-09,L
2017-10-11,L
2017-10-14,W
2017-10-15,L
2017-10-19,W
2017-10-21,L
2017-10-26,W
2017-10-28,L
2017-10-30,L
2017-11-02,W
2017-11-04,L
2017-11-06,W
2017-11-08,L
2017-11-10,L
2017-11-11,L
2017-11-15,L
2017-11-16,W
2017-11-18,W
2017-11-22,W
2017-11-24,W
2017-11-26,L
2017-11-29,W
2017-12-02,W
2017-12-04,L
2017-12-07,W
2017-12-09,W
2017-12-13,W
2017-12-14,L
2017-12-16,L
2017-12-18,W
2017-12-19,W
2017-12-21,W
2017-12-23,W
2017-12-27,W
2017-12-28,L
2017-12-30,W
2018-01-02,W
2018-01-06,W
2018-01-07,L
2018-01-13,W
2018-01-15,L
2018-01-17,W
2018-01-18,W
2018-01-20,W
2018-01-23,W
2018-01-25,W
2018-01-30,L
2018-02-01,W
2018-02-03,W
2018-02-06,W
2018-02-07,W
2018-02-10,L
2018-02-11,W
2018-02-13,W
2018-02-17,L
2018-02-19,W
2018-02-20,W
2018-02-24,L
2018-02-25,L
2018-02-27,W
2018-03-01,W
2018-03-03,W
2018-03-06,W
2018-03-08,W
2018-03-10,W
2018-03-11,L
2018-03-13,W
2018-03-15,L
2018-03-17,W
2018-03-19,L
2018-03-21,L
2018-03-23,W
2018-03-25,W
2018-03-27,L
2018-03-29,W
2018-03-31,W
2018-04-01,L
2018-04-03,L
2018-04-05,L
2018-04-07,W
2018-04-08,L
2018-04-12,W
2018-04-14,W
2018-04-16,L
2018-04-19,W
2018-04-21,L
2018-04-23,L
2018-04-25,W
2018-04-28,W
2018-04-30,L
2018-05-02,L
2018-05-04,L
2018-05-06,L
