Monday Apr 1,W
Wednesday Apr 3,W
Thursday Apr 4,L
Friday Apr 5,W
Saturday Apr 6,L
Sunday Apr 7,W
Monday Apr 8,W
Wednesday Apr 10,L
Thursday Apr 11,L
Saturday Apr 13,W-wo
Sunday Apr 14,W
Monday Apr 15,W-wo
Tuesday Apr 16,W
Wednesday Apr 17,W
Thursday Apr 18,W
Saturday Apr 20,W
Sunday Apr 21 (1),L
Sunday Apr 21 (2),L
Monday Apr 22,W
Tuesday Apr 23,L
Wednesday Apr 24,W
Thursday Apr 25,W
Friday Apr 26,W
Saturday Apr 27,W
Sunday Apr 28,W
Tuesday Apr 30,L
Wednesday May 1,W
Thursday May 2,W
Friday May 3,L
Saturday May 4,L
Sunday May 5,L-wo
Monday May 6,W-wo
Tuesday May 7,L
Wednesday May 8,L
Thursday May 9,L
Friday May 10,W
Saturday May 11,L
Sunday May 12,L
Tuesday May 14,L
Wednesday May 15,W
Thursday May 16,W
Friday May 17,W
Saturday May 18,W
Sunday May 19,W
Monday May 20,L
Tuesday May 21,L
Wednesday May 22,W
Thursday May 23,L
Friday May 24,W
Saturday May 25,W
Sunday May 26,W-wo
Monday May 27,W
Tuesday May 28,L
Wednesday May 29,L
Thursday May 30,W
Friday May 31,L
Saturday Jun 1,W
Sunday Jun 2,W
Tuesday Jun 4,W
Wednesday Jun 5,L
Thursday Jun 6,W-wo
Saturday Jun 8 (1),L
Saturday Jun 8 (2),W
Sunday Jun 9,W
Monday Jun 10,W
Tuesday Jun 11,L
Wednesday Jun 12,W
Thursday Jun 13,L-wo
Friday Jun 14,L
Saturday Jun 15,W
Sunday Jun 16,L
Tuesday Jun 18 (1),W
Tuesday Jun 18 (2),W-wo
Wednesday Jun 19,L
Thursday Jun 20,L-wo
Friday Jun 21,W
Saturday Jun 22,L
Sunday Jun 23,L
Tuesday Jun 25,W
Wednesday Jun 26,W
Thursday Jun 27,W
Friday Jun 28,W
Saturday Jun 29,L
Sunday Jun 30,W-wo
Tuesday Jul 2,W
Wednesday Jul 3,W-wo
Thursday Jul 4,W
Friday Jul 5,W
Saturday Jul 6,L-wo
Sunday Jul 7,L
Monday Jul 8,L
Tuesday Jul 9,W
Wednesday Jul 10,W
Thursday Jul 11,W
Friday Jul 12,W
Saturday Jul 13,L
Sunday Jul 14,L-wo
Friday Jul 19,W
Saturday Jul 20,L
Sunday Jul 21,W-wo
Monday Jul 22,L
Tuesday Jul 23,W
Wednesday Jul 24,L
Friday Jul 26,L
Saturday Jul 27,W
Sunday Jul 28,W
Monday Jul 29,L
Tuesday Jul 30,W
Wednesday Jul 31,W-wo
Thursday Aug 1,W-wo
Friday Aug 2,L
Saturday Aug 3,W
Sunday Aug 4,W
Monday Aug 5,L
Tuesday Aug 6,W
Wednesday Aug 7,W
Thursday Aug 8,L
Friday Aug 9,L
Saturday Aug 10,W
Sunday Aug 11,L
Tuesday Aug 13,W
Wednesday Aug 14,L-wo
Thursday Aug 15,L
Friday Aug 16,L
Saturday Aug 17,W
Sunday Aug 18,L
Monday Aug 19,W
Tuesday Aug 20,L-wo
Wednesday Aug 21,W
Friday Aug 23,L
Saturday Aug 24,W
Sunday Aug 25,W
Tuesday Aug 27,W
Wednesday Aug 28,W
Thursday Aug 29,L
Friday Aug 30,W
Saturday Aug 31,W
Sunday Sep 1,W
Monday Sep 2,L
Tuesday Sep 3,W
Wednesday Sep 4,W
Thursday Sep 5,W
Friday Sep 6,W
Saturday Sep 7,W
Sunday Sep 8,L-wo
Tuesday Sep 10,W
Wednesday Sep 11,W
Thursday Sep 12,L
Friday Sep 13,W
Saturday Sep 14,W
Sunday Sep 15,W
Tuesday Sep 17,L
Wednesday Sep 18,L
Thursday Sep 19,W
Friday Sep 20,W
Saturday Sep 21,L
Sunday Sep 22,W
Tuesday Sep 24,L
Wednesday Sep 25,W
Friday Sep 27,W
Saturday Sep 28,L
Sunday Sep 29,L
