2018-10-03,L
2018-10-04,W
2018-10-08,W
2018-10-11,W
2018-10-13,W
2018-10-17,L
2018-10-18,L
2018-10-20,L
2018-10-23,W
2018-10-25,W
2018-10-27,L
2018-10-30,W
2018-11-03,L
2018-11-05,W
2018-11-08,L
2018-11-10,W
2018-11-11,W
2018-11-14,L
2018-11-16,L
2018-11-17,W
2018-11-21,L
2018-11-23,W
2018-11-24,W
2018-11-26,L
2018-11-29,W
2018-12-01,L
2018-12-04,L
2018-12-06,L
2018-12-08,W
2018-12-09,W
2018-12-11,W
2018-12-14,L
2018-12-16,L
2018-12-17,W
2018-12-20,W
2018-12-22,W
2018-12-23,L
2018-12-27,L
2018-12-29,W
2019-01-01,W
2019-01-03,W
2019-01-05,W
2019-01-08,W
2019-01-10,L
2019-01-12,W
2019-01-14,L
2019-01-16,L
2019-01-17,W
2019-01-19,L
2019-01-29,L
2019-01-31,L
2019-02-03,W
2019-02-05,W
2019-02-06,L
2019-02-09,W
2019-02-10,W
2019-02-12,W
2019-02-15,W
2019-02-16,W
2019-02-18,W
2019-02-20,W
2019-02-23,L
2019-02-26,W
2019-02-28,W
2019-03-02,W
2019-03-05,W
2019-03-07,W
2019-03-09,W
2019-03-10,L
2019-03-12,L
2019-03-14,L
2019-03-16,W
2019-03-19,W
2019-03-21,W
2019-03-23,W
2019-03-25,L
2019-03-27,W
2019-03-30,L
2019-03-31,L
2019-04-02,W
2019-04-04,W
2019-04-06,L
2019-04-11,L
2019-04-13,W
2019-04-15,L
2019-04-17,W
2019-04-19,L
2019-04-21,W
2019-04-23,W
2019-04-25,W
2019-04-27,L
2019-04-30,L
2019-05-02,W
2019-05-04,W
2019-05-06,W
2019-05-09,W
2019-05-12,W
2019-05-14,W
2019-05-16,W
2019-05-27,W
2019-05-29,L
2019-06-01,W
2019-06-03,L
2019-06-06,L
2019-06-09,W
2019-06-12,L
