Sun Dec 25 2011,L
Tue Dec 27 2011,L
Wed Dec 28 2011,L
Fri Dec 30 2011,W
Sun Jan 1 2012,W
Mon Jan 2 2012,W
Wed Jan 4 2012,W
Fri Jan 6 2012,L
Wed Jan 11 2012,L
Fri Jan 13 2012,L
Sat Jan 14 2012,L
Mon Jan 16 2012,L
Wed Jan 18 2012,W
Fri Jan 20 2012,L
Sun Jan 22 2012,W
Mon Jan 23 2012,W
Thu Jan 26 2012,W
Fri Jan 27 2012,W
Sun Jan 29 2012,L
Tue Jan 31 2012,W
Wed Feb 1 2012,W
Fri Feb 3 2012,W
Sun Feb 5 2012,W
Tue Feb 7 2012,W
Thu Feb 9 2012,L
Fri Feb 10 2012,L
Sun Feb 12 2012,W
Wed Feb 15 2012,L
Thu Feb 16 2012,L
Sun Feb 19 2012,L
Mon Feb 20 2012,L
Wed Feb 22 2012,L
Tue Feb 28 2012,W
Wed Feb 29 2012,W
Fri Mar 2 2012,W
Sun Mar 4 2012,W
Tue Mar 6 2012,W
Wed Mar 7 2012,L
Fri Mar 9 2012,W
Sun Mar 11 2012,L
Mon Mar 12 2012,W
Wed Mar 14 2012,W
Fri Mar 16 2012,L
Sat Mar 17 2012,L
Mon Mar 19 2012,W
Thu Mar 22 2012,W
Fri Mar 23 2012,L
Sun Mar 25 2012,W
Mon Mar 26 2012,W
Wed Mar 28 2012,W
Fri Mar 30 2012,W
Sun Apr 1 2012,W
Wed Apr 4 2012,L
Thu Apr 5 2012,L
Sat Apr 7 2012,W
Sun Apr 8 2012,W
Tue Apr 10 2012,W
Wed Apr 11 2012,W
Fri Apr 13 2012,L
Sat Apr 14 2012,W
Sun Apr 15 2012,W
Tue Apr 17 2012,L
Wed Apr 18 2012,W
Fri Apr 20 2012,L
Tue Apr 24 2012,W
Thu Apr 26 2012,W
Sun Apr 29 2012,L
Tue May 1 2012,W
Fri May 4 2012,W
Sun May 6 2012,W
Tue May 8 2012,L
Thu May 10 2012,W
Sat May 12 2012,W
Mon May 14 2012,L
Wed May 16 2012,W
Fri May 18 2012,L
Mon May 21 2012,W
Wed May 23 2012,L
Sat May 26 2012,W
Mon May 28 2012,L
Wed May 30 2012,L
Fri Jun 1 2012,W
Sun Jun 3 2012,W
Tue Jun 5 2012,W
Thu Jun 7 2012,L
Sat Jun 9 2012,L
