Friday Apr 1,L
Saturday Apr 2,L
Sunday Apr 3,L
Tuesday Apr 5,L
Wednesday Apr 6,L
Thursday Apr 7,L
Friday Apr 8,W
Saturday Apr 9,L
Sunday Apr 10,W
Monday Apr 11,L
Tuesday Apr 12,L
Friday Apr 15,L
Saturday Apr 16,W
Sunday Apr 17,W
Monday Apr 18,W
Tuesday Apr 19,L
Wednesday Apr 20,W
Thursday Apr 21,W
Friday Apr 22,W
Saturday Apr 23,W
Sunday Apr 24,W
Tuesday Apr 26,L
Wednesday Apr 27,L
Thursday Apr 28,W
Friday Apr 29,L
Saturday Apr 30,L
Sunday May 1,W-wo
Monday May 2,W
Tuesday May 3,W
Wednesday May 4,L
Thursday May 5,L
Friday May 6,L
Saturday May 7,W
Sunday May 8,W
Monday May 9,W-wo
Tuesday May 10,L-wo
Wednesday May 11,L
Friday May 13,W
Saturday May 14,W
Sunday May 15,W
Monday May 16,W-wo
Wednesday May 18,W
Thursday May 19,W-wo
Friday May 20,W
Saturday May 21,L
Sunday May 22,W
Monday May 23,L
Tuesday May 24,W
Wednesday May 25,W
Thursday May 26,W
Friday May 27,W
Sunday May 29 (1),W
Sunday May 29 (2),L
Monday May 30,L
Tuesday May 31,L
Wednesday Jun 1,L
Friday Jun 3,W
Saturday Jun 4,W-wo
Sunday Jun 5,W
Tuesday Jun 7,W
Wednesday Jun 8,W
Thursday Jun 9,W
Friday Jun 10,W
Saturday Jun 11,W
Sunday Jun 12,W
Tuesday Jun 14,L
Wednesday Jun 15,W
Thursday Jun 16,W
Friday Jun 17,W
Saturday Jun 18,L
Sunday Jun 19,W
Monday Jun 20,W
Tuesday Jun 21,L
Wednesday Jun 22,L
Friday Jun 24,L
Saturday Jun 25,L
Sunday Jun 26,W
Tuesday Jun 28,L
Wednesday Jun 29,L
Thursday Jun 30,W
Friday Jul 1,W
Saturday Jul 2,W
Sunday Jul 3,W
Monday Jul 4,L
Tuesday Jul 5,W
Wednesday Jul 6,W
Thursday Jul 7,W
Friday Jul 8,W
Saturday Jul 9,W
Sunday Jul 10,W
Friday Jul 15,L
Saturday Jul 16,W
Sunday Jul 17,W
Monday Jul 18,W
Tuesday Jul 19,L
Wednesday Jul 20,W
Friday Jul 22,W
Saturday Jul 23,W
Sunday Jul 24,W
Monday Jul 25,L
Tuesday Jul 26,W
Wednesday Jul 27,W
Thursday Jul 28,L
Friday Jul 29,L
Saturday Jul 30,W
Sunday Jul 31,W
Monday Aug 1,L
Tuesday Aug 2,W-wo
Wednesday Aug 3,W-wo
Thursday Aug 4,L
Friday Aug 5,L
Saturday Aug 6,W
Sunday Aug 7,W-wo
Monday Aug 8,W
Tuesday Aug 9,W
Wednesday Aug 10,L
Friday Aug 12,W
Saturday Aug 13,L
Sunday Aug 14,L
Tuesday Aug 16 (1),W
Tuesday Aug 16 (2),L
Wednesday Aug 17,L
Thursday Aug 18,W
Friday Aug 19,W
Saturday Aug 20,L
Sunday Aug 21,W
Monday Aug 22,L
Tuesday Aug 23,W
Wednesday Aug 24,W
Thursday Aug 25,W
Friday Aug 26,L
Saturday Aug 27 (1),W
Saturday Aug 27 (2),W
Tuesday Aug 30,L
Wednesday Aug 31,W
Thursday Sep 1,L
Friday Sep 2,L
Saturday Sep 3,W
Sunday Sep 4,L
Monday Sep 5,L-wo
Tuesday Sep 6,W
Wednesday Sep 7,L
Thursday Sep 8,L
Friday Sep 9,L
Saturday Sep 10,L-wo
Sunday Sep 11,L
Tuesday Sep 13,W
Wednesday Sep 14,L
Thursday Sep 15,L
Friday Sep 16,W
Saturday Sep 17,L
Sunday Sep 18,L
Monday Sep 19 (1),L
Monday Sep 19 (2),W
Tuesday Sep 20,L
Wednesday Sep 21,L
Saturday Sep 24,L
Sunday Sep 25 (1),L
Sunday Sep 25 (2),W
Monday Sep 26,L
Tuesday Sep 27,W
Wednesday Sep 28,L-wo
