Date,Won,Crimes
2016-01-16,1,238
2016-01-19,1,242
2016-01-21,0,237
2016-01-23,1,252
2016-01-25,1,237
2016-01-26,0,255
2016-02-02,0,307
2016-02-13,1,199
2016-02-14,0,198
2016-02-16,1,268
2016-02-18,0,236
2016-02-20,1,286
2016-02-22,0,268
2016-02-24,1,228
2016-02-26,1,272
2016-02-28,0,224
2016-03-03,1,244
2016-03-04,0,233
2016-03-11,1,272
2016-03-12,1,253
2016-03-15,0,260
2016-03-18,0,305
2016-03-19,0,287
2016-03-23,0,260
2016-03-24,0,282
2016-03-26,1,284
2016-03-29,0,278
2016-04-02,1,259
2016-05-01,0,261
2016-05-03,0,218
2016-05-04,0,259
2016-05-11,0,301
2016-05-12,1,261
2016-06-02,1,244
2016-07-03,1,271
2016-07-04,1,313
2016-07-11,1,261
2016-07-12,0,299
2016-08-01,1,287
2016-08-03,1,252
2016-08-11,0,247
2016-08-12,0,301
2016-09-01,0,228
2016-09-02,0,239
2016-09-04,0,280
2016-10-03,0,245
2016-10-11,1,291
2016-10-12,0,231
2016-10-13,1,260
2016-10-15,0,304
2016-10-17,1,288
2016-10-20,1,254
2016-10-22,0,253
2016-10-25,0,253
2016-10-26,0,281
2016-10-29,1,271
2016-11-01,0,245
2016-11-02,1,240
2016-11-13,1,205
2016-11-17,0,308
2016-11-19,1,264
2016-11-22,0,269
2016-11-24,0,149
2016-11-25,0,241
2016-11-27,1,213
2016-11-29,0,266
2016-12-03,1,297
2016-12-11,1,269
2016-12-12,1,261
2016-12-14,0,248
2016-12-15,0,279
2016-12-18,1,252
2016-12-20,0,251
2016-12-22,1,281
2016-12-23,0,267
2016-12-27,0,224
2016-12-29,1,276
2016-12-31,1,266
2017-01-02,0,271
2017-01-04,1,300
2017-01-14,1,247
2017-01-16,0,223
2017-01-18,0,249
2017-01-20,0,277
2017-01-22,0,237
2017-01-24,1,263
2017-01-26,1,273
2017-01-31,1,228
2017-02-01,0,220
2017-02-03,0,273
2017-02-04,1,276
2017-02-11,1,290
2017-02-12,1,269
2017-02-19,1,224
2017-02-22,0,259
2017-02-23,1,277
2017-02-26,1,243
2017-02-28,1,267
2017-03-13,1,272
