Date,Won,Crimes
2011-11-25,L,
2011-11-26,W,
2011-11-27,W,
2011-11-30,W,
2011-12-01,W,
2011-12-04,L,
2011-12-06,W,
2011-12-08,W,
2011-12-09,W,
2011-12-10,L,
2011-12-11,W,
2011-12-13,W,
2011-12-14,W,
2011-12-17,W,
2011-12-18,W,
2011-12-19,W,
2011-12-23,W,
2011-12-24,W,
2011-12-25,L,
2011-12-27,L,
2011-12-28,L,
2011-12-30,W,
2011-12-31,L,
2012-01-01,W,
2012-01-02,W,
2012-01-03,W,
2012-01-04,W,
2012-01-05,L,
2012-01-06,W,
2012-01-07,W,
2012-01-08,L,276.0
2012-01-09,L,315.0
2012-01-10,L,275.0
2012-01-12,L,250.0
2012-01-13,L,
2012-01-14,W,
2012-01-16,L,
2012-01-17,L,
2012-01-18,W,
2012-01-19,W,
2012-01-20,L,
2012-01-21,L,
2012-01-22,W,
2012-01-23,W,
2012-01-24,L,
2012-01-26,W,
2012-01-27,W,
2012-01-29,L,
2012-01-31,W,
2012-02-01,W,
2012-02-02,L,
2012-02-03,W,
2012-02-05,L,
2012-02-06,W,
2012-02-07,L,
2012-02-08,L,233.0
2012-02-09,L,252.0
2012-02-10,L-wo,251.0
2012-02-11,L,240.0
2012-02-12,W,218.0
2012-02-14,L,
2012-02-15,L,
2012-02-16,L,
2012-02-17,L,
2012-02-19,L,
2012-02-20,L,
2012-02-22,L,
2012-02-24,L,
2012-02-25,W,
2012-02-28,W,
2012-02-29,W,
2012-03-02,W,
2012-03-03,L,
2012-03-04,L,
2012-03-06,L,
2012-03-07,L-wo,
2012-03-08,L,267.0
2012-03-09,L,191.0
2012-03-10,L,279.0
2012-03-11,W,223.0
2012-03-13,L,
2012-03-14,W,
2012-03-15,L,
2012-03-16,L,
2012-03-17,L,
2012-03-19,W,
2012-03-22,W,
2012-03-23,L,
2012-03-24,W,
2012-03-25,W,
2012-03-26,W,
2012-03-27,W,
2012-03-28,W,
2012-03-29,L,
2012-03-30,W,
2012-03-31,W,
2012-04-01,W,
2012-04-02,L,
2012-04-03,W,
2012-04-04,L,
2012-04-05,L,
2012-04-07,L,
2012-04-08,L,255.0
2012-04-09,W,273.0
2012-04-13,W,
2012-04-14,W,
2012-04-15,W,
2012-04-16,L,
2012-04-17,L,
2012-04-18,L,
2012-04-19,L,
2012-04-20,L,
2012-04-21,L,
2012-04-22,W,
2012-04-23,W,
2012-04-24,W,
2012-04-25,W,
2012-04-26,W,
2012-04-27,W,
2012-04-28,W,
2012-04-29,L,
2012-04-30,W,
2012-05-01,W,
2012-05-02,L,
2012-05-04,L-wo,
2012-05-05,L,
2012-05-06,L,
2012-05-08,W,218.0
2012-05-09,L,238.0
2012-05-12,W,229.0
2012-05-13,W,
2012-05-14,W,
2012-05-15,W,
2012-05-16,L,
2012-05-17,W,
2012-05-18,L,
2012-05-19,W,
2012-05-20,W,
2012-05-21,W,
2012-05-22,L,
2012-05-23,W,
2012-05-25,L,
2012-05-26,W-wo,
2012-05-27,L,
2012-05-28,W,
2012-05-29,W,
2012-05-30,W,
2012-05-31,L,
2012-06-01,L,
2012-06-03,W,
2012-06-05,L,
2012-06-06,L,
2012-06-07,L,
2012-06-08,W,226.0
2012-06-13,W,
2012-06-15,L,
2012-06-16,W,
2012-06-17,W,
2012-06-19,W,
2012-06-20,W,
2012-06-21,W,
2012-06-22,L,
2012-06-23,W,
2012-06-24,W,
2012-06-25,L,
2012-06-26,W,
2012-06-27,W,
2012-06-28,L-wo,
2012-06-29,W,
2012-06-30,L-wo,
2012-07-01,L,
2012-07-02,W,
2012-07-03,L,
2012-07-04,L,
2012-07-05,W,
2012-07-06,W,
2012-07-07,L,
2012-07-08,L,251.0
2012-07-09,L,302.0
2012-07-10,W,228.0
2012-07-11,W,236.0
2012-07-12,L,266.0
2012-07-13,W,274.0
2012-07-14,L,224.0
2012-07-15,W,246.0
2012-07-16,W,254.0
2012-07-17,L,284.0
2012-07-18,W,235.0
2012-07-19,W-wo,275.0
2012-07-20,L,313.0
2012-07-21,L,273.0
2012-07-22,L,223.0
2012-07-23,L,261.0
2012-07-24,W,241.0
2012-07-25,L,261.0
2012-07-27,L,274.0
2012-07-28,W,266.0
2012-07-29,W,214.0
2012-07-30,W,262.0
2012-07-31,W,228.0
